measurement_date,river_flow,groundwater_level,reservoir_level,location
2025-03-10,112.3,43.8,147.2,Yagoua
2025-03-11,111.8,43.6,146.9,Yagoua
2025-03-12,111.2,43.4,146.5,Yagoua
2025-03-13,110.7,43.2,146.1,Yagoua
2025-03-14,110.1,43.0,145.7,Yagoua
2025-03-15,109.6,42.8,145.3,Yagoua
2025-03-16,109.0,42.6,144.9,Yagoua
2025-03-17,108.5,42.4,144.5,Yagoua
2025-03-18,108.0,42.2,144.1,Yagoua
2025-03-19,107.4,42.0,143.7,Yagoua
2025-03-20,107.5,42.1,143.8,Yagoua
2025-03-21,107.1,41.9,143.4,Yagoua
2025-03-22,106.6,41.7,143.0,Yagoua
2025-03-23,106.1,41.5,142.6,Yagoua
2025-03-24,105.5,41.3,142.2,Yagoua
2025-03-25,105.0,41.1,141.8,Yagoua
2025-03-26,104.5,40.9,141.4,Yagoua
2025-03-27,104.0,40.7,141.0,Yagoua
2025-03-28,103.4,40.5,140.6,Yagoua
2025-03-29,103.8,40.8,140.9,Yagoua
2025-03-30,103.4,40.7,140.6,Yagoua
2025-03-31,102.9,40.5,140.2,Yagoua
2025-04-01,102.3,40.3,139.8,Yagoua
2025-04-02,101.8,40.1,139.4,Yagoua
2025-04-03,101.3,39.9,139.0,Yagoua
2025-04-04,100.7,39.7,138.6,Yagoua
2025-04-05,100.2,39.5,138.2,Yagoua
2025-04-06,99.7,39.3,137.8,Yagoua
2025-04-07,99.1,39.1,137.4,Yagoua
2025-04-08,98.6,38.9,137.0,Yagoua